tick,symbol,position,avg_price,realized,unrealized,total,mid
480,ADA,93,1,270,17.0469,287.047,1.1833
490,BTC,-117,55978.2,-7812.9,-12299,-20111.9,56083.3
490,ETH,16,1977.41,1324.59,32.3691,1356.96,1979.43
490,ADA,93,1,270,17.3956,287.396,1.18705
500,BTC,-113,55978.2,-8536.22,-18788.5,-27324.7,56144.4
500,ETH,12,1977.41,1330.94,30.2168,1361.16,1979.93
500,ADA,89,1,274,16.6029,290.603,1.18655
510,BTC,-105,55978.2,-9926.86,-18706.8,-28633.7,56156.3
510,ETH,16,1977.56,1330.94,28.4168,1359.36,1979.34
510,ADA,85,1,278,15.844,293.844,1.1864
520,BTC,-109,55984.7,-9926.86,-20739.7,-30666.5,56175
520,ETH,19,1976.6,1421.43,59.7227,1481.16,1979.74
520,ADA,97,1,282,18.1439,300.144,1.18705
530,BTC,-109,55984.7,-9926.86,-21305.4,-31232.3,56180.2
530,ETH,15,1976.6,1435.03,49.6995,1484.73,1979.91
530,ADA,97,1,282,18.1584,300.158,1.1872
540,BTC,-114,56005.2,-11389.1,-20910.4,-32299.5,56188.6
540,ETH,14,1976.15,1548.09,47.4699,1595.56,1979.54
540,ADA,93,1,286,17.3352,303.335,1.1864
550,BTC,-114,56005.2,-11389.1,-23214.9,-34604,56208.9
550,ETH,18,1976.12,1548.09,26.0799,1574.17,1977.57
550,ADA,97,1,286,18.2797,304.28,1.18845
560,BTC,-102,56005.2,-13858.5,-21207.8,-35066.3,56213.1
560,ETH,14,1976.12,1559.63,26.4444,1586.07,1978.01
560,ADA,93,1,290,17.4793,307.479,1.18795
570,BTC,-106,56013.7,-13858.5,-24157.4,-38015.9,56241.6
570,ETH,18,1976.53,1559.63,21.0644,1580.69,1977.7
570,ADA,89,1,294,16.465,310.465,1.185
580,BTC,-106,56013.7,-13858.5,-9151.01,-23009.5,56100
580,ETH,15,1976.53,1564.02,19.2786,1583.3,1977.82
580,ADA,92,1,294,16.8314,310.831,1.18295
590,BTC,-132,56037.4,-13858.5,-11399.2,-25257.7,56123.7
590,ETH,23,1975.65,1564.02,37.8786,1601.9,1977.3
590,ADA,89,1,297,16.1446,313.145,1.1814
600,BTC,-145,56045.5,-13858.5,-9593.52,-23452,56111.7
600,ETH,26,1975.58,1564.02,6.94863,1570.97,1975.85
600,ADA,86,1,300,15.7982,315.798,1.1837
610,BTC,-153,56051.6,-14197.8,-8231.91,-22429.7,56105.4
610,ETH,37,1975.19,1564.02,48.4786,1612.5,1976.5
610,ADA,83,1,303,15.3218,318.322,1.1846
620,BTC,-150,56051.6,-14325,-10820.7,-25145.8,56123.7
620,ETH,40,1975.18,1564.02,-70.6214,1493.4,1973.41
620,ADA,80,1,306,14.632,320.632,1.1829
630,BTC,-150,56053.1,-14498.7,-8886,-23384.8,56112.3
630,ETH,43,1975.02,1564.02,-23.5964,1540.43,1974.47
630,ADA,80,1,309,14.684,323.684,1.18355
640,BTC,-175,56062.8,-14498.7,-8181.75,-22680.5,56109.6
640,ETH,46,1974.83,1564.02,-76.8914,1487.13,1973.15
640,ADA,77,1,312,14.3105,326.31,1.18585
650,BTC,-178,56063.7,-14498.7,-9492.71,-23991.5,56117.1
650,ETH,49,1974.84,1564.02,87.8486,1651.87,1976.63
650,ADA,74,1,315,13.7122,328.712,1.1853
660,BTC,-175,56063.7,-14745.5,-14645.7,-29391.3,56147.4
660,ETH,52,1974.79,1564.02,48.1586,1612.18,1975.71
660,ADA,77,1,315,14.1179,329.118,1.18335
670,BTC,-172,56063.7,-15022.3,-11036.4,-26058.7,56127.9
670,ETH,49,1974.79,1567.65,10.8352,1578.49,1975.01
670,ADA,80,1,315,14.444,329.444,1.18055
680,BTC,-160,56063.7,-15601.4,-7299.97,-22901.4,56109.4
680,ETH,46,1974.79,1571.29,8.33186,1579.62,1974.97
680,ADA,77,1,318,13.6714,331.671,1.17755
690,BTC,-148,56063.7,-15562.5,1662.06,-13900.5,56052.5
690,ETH,43,1974.79,1562.92,-202.052,1360.87,1970.09
690,ADA,80,1,318,14.088,332.088,1.1761
700,BTC,-136,56063.7,-14914.7,8599.98,-6314.68,56000.5
700,ETH,37,1972.89,1551.09,-110.788,1440.3,1969.9
700,ADA,80,1,318,14.228,332.228,1.17785
710,BTC,-127,56063.7,-14134,8505.85,-5628.16,55996.8
710,ETH,37,1972.89,1551.09,-86.1834,1464.91,1970.57
710,ADA,77,1,321,13.5405,334.54,1.17585
720,BTC,-115,56063.7,-13192.1,9139.07,-4053.05,55984.3
720,ETH,37,1972.6,1540.28,-146.047,1394.24,1968.65
720,ADA,80,1,321,14.092,335.092,1.17615
730,BTC,-112,56063.7,-12943.9,9137.54,-3806.36,55982.2
730,ETH,43,1970.72,1532.11,-143.771,1388.34,1967.38
730,ADA,77,1,324,13.3518,337.352,1.1734
740,BTC,-103,56063.7,-12100.2,13927.2,1826.92,55928.5
740,ETH,46,1970.35,1532.11,-223.571,1308.54,1965.49
740,ADA,77,1,324,13.244,337.244,1.172
750,BTC,-85,56063.7,-9017.91,14278.3,5260.4,55895.8
750,ETH,46,1970.35,1532.11,-280.841,1251.27,1964.24
750,ADA,74,1,327,12.691,339.691,1.1715
760,BTC,-100,56038.5,-9017.91,14666.9,5649,55891.8
760,ETH,55,1968.33,1532.11,-361.861,1170.25,1961.75
760,ADA,77,1,327,12.8705,339.871,1.16715
770,BTC,-112,56023.1,-9017.91,19499.8,10481.9,55849
770,ETH,52,1966.74,1463.28,-471.698,991.58,1957.66
770,ADA,80,1,327,13.46,340.46,1.16825
780,BTC,-115,56018.3,-9017.91,15961.1,6943.2,55879.5
780,ETH,49,1966.74,1437.07,-392.3,1044.77,1958.73
780,ADA,83,1,327,14.2926,341.293,1.1722
790,BTC,-127,56003.8,-9017.91,18266.5,9248.63,55860
790,ETH,49,1966.74,1437.07,-201.69,1235.38,1962.62
790,ADA,86,1,327,15.0156,342.016,1.1746
800,BTC,-130,56000.1,-9017.91,15166,6148.1,55883.4
800,ETH,58,1965.54,1437.07,20.2605,1457.33,1965.88
800,ADA,83,1,330,14.6661,344.666,1.1767
810,BTC,-130,55997.5,-8959.49,2302.69,-6656.8,55979.8
810,ETH,64,1964.76,1441.46,-1.4225,1440.04,1964.73
810,ADA,77,1,336,13.6868,349.687,1.17775
820,BTC,-133,55998,-8959.49,-1737.8,-10697.3,56011.1
820,ETH,61,1964.76,1442.19,14.5042,1456.69,1964.99
820,ADA,74,1,339,13.3348,352.335,1.1802
830,BTC,-136,55999.2,-8959.49,-6642.83,-15602.3,56048
830,ETH,58,1964.76,1442.92,13.7909,1456.71,1964.99
830,ADA,83,1,339,15.0811,354.081,1.1817
840,BTC,-133,55999.2,-9157.04,-9563.27,-18720.3,56071.1
