tick,symbol,real_mid,real_spread,real_bidDepth,real_askDepth,engine_bestBid,engine_bestAsk
940690,ADA,1.2039,0.0018,0,0,1,2
940700,BTC,55262,12.02,0,0,60407,60888
940700,ETH,2148.39,0.01,0,0,2376,2474
940700,ADA,1.20215,0.0015,0,0,1,2
940710,BTC,55223.7,0.97,0,0,60407,60888
940710,ETH,2150.32,0.01,0,0,2376,2474
940710,ADA,1.2019,0.0024,0,0,1,2
940720,BTC,55327.5,14.74,0,0,60407,60888
940720,ETH,2157.57,0.98,0,0,2376,2474
940720,ADA,1.20605,0.0027,0,0,1,2
940730,BTC,55393,0.01,0,0,60407,60888
940730,ETH,2159.99,0.01,0,0,2376,2474
940730,ADA,1.20955,0.0025,0,0,1,2
940740,BTC,55354.1,23.51,0,0,60407,60888
940740,ETH,2160.45,0.67,0,0,2376,2474
940740,ADA,1.2103,0.0006,832.74,0,1,2
940750,BTC,55240.2,0.49,0,0,60407,60888
940750,ETH,2162.89,0.01,0,0,2376,2474
940750,ADA,1.20925,0.0019,0,0,1,2
940760,BTC,55334.5,4.77,0,0,60407,60888
940760,ETH,2162.21,1.04,0,0,2376,2474
940760,ADA,1.21055,0.0011,0,178,1,2
940770,BTC,55369.7,0.01,0,196.28,60407,60888
940770,ETH,2156.05,0.01,0,0,2376,2474
940770,ADA,1.20545,0.0023,0,0,1,2
940780,BTC,55322.3,5.49,0,146.48,60406,60888
940780,ETH,2152.2,0.01,71.73,0,2376,2474
940780,ADA,1.204,0.0012,0,0,1,2
940790,BTC,55269.4,0.01,0,99.5,60406,60888
940790,ETH,2157.44,1.04,965.05,0,2376,2474
940790,ADA,1.2045,0.0012,0,0,1,2
940800,BTC,55320.8,8.91,0,0,60406,60888
940800,ETH,2160.71,0.24,0,0,2376,2474
940800,ADA,1.2064,0.0018,0,0,1,2
940810,BTC,55320.8,8.91,0,0,60406,60888
940810,ETH,2159.05,0.14,0,0,2376,2474
940810,ADA,1.20715,0.0023,0,0,1,2
940820,BTC,55339.2,0.01,0,9982.03,60406,60888
940820,ETH,2156.72,1.29,0,0,2376,2474
940820,ADA,1.20365,0.0005,0,0,1,2
940830,BTC,55044.6,27.19,0,2241.99,60406,60888
940830,ETH,2155.61,0.28,0,95.74,2376,2474
940830,ADA,1.20315,0.0015,0,0,1,2
